章,節,学習No,実施時期,優先度(開発者),大分類,中分類,タイトル
6,3,6-3,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第3回】レコード詳細にもボタンを設置しよう！
6,4,6-4,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第4回】レコードの値を利用してみよう(詳細画面編)
6,5,6-5,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第5回】レコードの値を利用してみよう(一覧画面編)
6,6,6-6,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第6回】テーブルの値を利用する
6,7,6-7,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第7回】カスタマイズビューを利用してみよう
6,8,6-8,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第8回】簡単な更新処理に挑戦してみよう
6,9,6-9,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第9回】kintone REST APIを利用したレコード追加
6,10,6-10,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第10回】kintone REST APIを利用したレコード取得
6,11,6-11,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第11回】kintone REST APIを利用したレコード更新
6,12,6-12,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第12回】jQueryを利用してみよう
8,1,8-1,事前研修,任意,kintone Promise,kintone Promise,kintone API で Promise を使ってみよう！
8,2,8-2,事前研修,任意,kintone Promise,kintone Promise,kintoneにおけるPromiseの書き方の基本
8,3,8-3,事前研修,任意,kintone Promise,kintone Promise,kintone.Promiseとは
9,1,9-1,事前研修,*必須*,カスタマイズ開発,事前研修・演習問題,SUBTABLEの値を、別アプリにレコード登録（更新なし）
9,2,9-2,事前研修,*必須*,カスタマイズ開発,事前研修・演習問題,SUBTABLEの値を、別アプリにレコード登録（Promiseあり）
9,3,9-3,事前研修,*必須*,カスタマイズ開発,事前研修・演習問題,SUBTABLEの値を、別アプリにレコード登録（更新あり）
9,4,9-4,事前研修,*必須*,カスタマイズ開発,事前研修・演習問題,カスタマイズビューに自作のテーブルを表示する
